ID;population;PopGen;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
B3o1;B;B3;3;c;1;0;4;0;2.400460256;2.116780803;0.686017235;0.819250351;6.850456854;0;1.399699349;0.367837104;6.319674109;0.490046335;1.601296637;2.747879665;0.959733744;0.948245891;4.065138046;2.720734431;0.881981949;35.37523276
B3o2;B;B3;3;c;2;0;3;0;0.638065295;0.538936119;0.222831282;0.374699582;2.010281643;0.099119777;0.385963428;0.19949433;1.026769492;0.141060309;0.374367795;0.72992805;0.163631237;0.168625903;0.537800712;0.291412539;0.158003073;8.060990568
B3o3;B;B3;3;c;3;0;3;0;1.138099128;1.074925772;0.234781243;0.561006991;2.036261095;0.082782185;0.675276098;0.330984212;1.969125756;0.228275862;0.640491713;0.917332495;0.43480952;0.228586914;0.87738905;0.35017045;0.217290079;11.99758856
B14o1;B;B14;14;c;1;0;3;0;5.842291845;1.280556635;0.619194589;3.015385213;1.52964705;0.242672782;1.359912151;0;1.04432092;0.155243722;1.761303739;0.976175853;1.31905854;1.048717251;5.153933764;0.266022701;1.174376118;26.78881287
B14o2;B;B14;14;c;2;0;3;0;2.340734284;0.773065933;0.452138254;1.200933808;0.139116259;0.057304689;0.637989531;0.269377853;0.727584817;0.144801213;1.231408253;0.543119823;0.943162363;0.794679764;3.693385849;0.219934226;0.905238874;15.07397579
B14o3;B;B14;14;c;3;0;3;0;2.973536656;1.057020991;0.725990772;1.341412321;1.057573475;0;1.093350127;0.206675195;0.752141699;0.225508993;1.261529;0.726115739;0.902331944;1.100104906;2.967005502;0.286272408;0.710912553;17.38748228
B24o1;B;B24;24;c;1;0;4;0;7.93714326;12.69023501;4.109708618;3.950778663;4.316318441;1.739588472;5.074334085;2.845262843;4.017308505;1.834992249;4.115504545;3.353639631;2.834683955;2.39134839;17.17100627;1.544455993;2.538043478;82.46435241
B24o2;B;B24;24;c;2;0;4;0;9.006857186;10.04004719;2.287225541;2.346154724;4.307454622;1.659172723;5.758415465;1.616355265;3.889927318;2.892415998;4.984116595;4.030670878;2.919053236;2.339807451;11.25255147;1.812922866;2.670398417;73.81354694
B24o3;B;B24;24;c;3;0;3;0;11.10521127;16.09273339;5.801501668;4.833911764;7.291933937;0.635940095;7.762352973;1.686499845;6.152435484;4.533281117;6.697114151;5.466381278;4.731239281;4.67942364;17.1271421;1.977745068;3.570485206;110.1453323
B28o1;B;B28;28;c;1;0;4;0;17.45206542;5.709154485;1.384769767;9.370989934;61.44958257;6.007427868;4.623361576;1.428923166;61.72072044;2.291486918;13.10952484;34.11306291;12.44761698;12.01433847;23.44607554;29.63223777;4.837445558;301.0387842
B28o2;B;B28;28;c;2;0;3;0;1.791627675;2.52122146;0.793803653;9.255497837;2.912751974;0.341377969;1.56269277;0.366303248;3.88269172;1.277947538;1.495876025;2.292685227;2.899879921;7.362178079;18.25986173;3.86220792;8.735220534;69.61382528
B28o3;B;B28;28;c;3;0;3;0;8.319848458;1.353466295;0;5.554476572;4.058341317;0.870199007;2.293219822;2.37612132;4.447189079;0.698419265;5.403838617;3.560758143;2.4305108;1.647763891;15.52658509;1.281582041;4.025311357;63.84763107
B30o1;B;B30;30;c;1;0;3;0;1.750015935;1.162097639;0.472238157;0.617018688;11.60974938;0.498232652;1.135170216;0.48880197;7.761164711;0.406261046;2.765151383;2.471916558;1.201776039;1.019142402;4.192632189;5.343734608;0.900814139;43.79591772
B30o2;B;B30;30;c;2;0;4;0;0.116365522;0.047947559;0.014528931;0.029567097;0.388219764;0;0.039000785;0.031731927;0.534936832;0.013239278;0.06211026;0.165733643;0.038569317;0.02840821;0.151692922;0.179066675;0.036769564;1.877888288
B30o3;B;B30;30;c;3;0;4;0;4.374242482;0;0;1.592253783;3.418068528;0;0.417081993;0.361844606;3.674238639;0.135061263;1.963203546;2.212194591;0.969848774;0.51754622;3.636297634;1.027789522;1.0552502;25.35492178
B37o1;B;B37;37;c;1;0;3;0;0.453301549;0.184419442;0.051005782;0.211753732;1.072935104;0;0.126803159;0.08682184;4.530636693;0.056980926;0.282739099;0.847364248;0.165146724;0.137821294;0.514426853;0.302736403;0.080332208;9.105225055
